userId,movieId,rating,movie_idx
195,242,3,241
185,302,3,301
21,377,1,376
243,51,2,50
165,346,1,345
297,474,4,473
114,265,2,264
252,465,5,464
304,451,3,450
5,86,3,85
61,257,2,256
285,1014,5,1013
199,222,5,221
209,40,3,39
223,29,3,28
302,785,3,784
121,387,5,386
193,274,2,273
290,1042,4,1041
233,1184,2,1183
118,392,4,391
166,486,4,485
298,144,4,143
290,118,2,117
307,1,4,0
94,546,2,545
37,95,5,94
101,768,2,767
62,277,4,276
159,234,5,233
49,246,3,245
300,98,4,97
224,193,4,192
289,88,4,87
96,194,3,193
156,274,4,273
180,1081,1,1080
277,603,5,602
275,796,1,795
6,32,4,31
9,16,4,15
283,304,4,303
200,979,2,978
275,564,3,563
286,327,5,326
245,201,5,200
241,1137,5,1136
248,241,5,240
98,4,5,3
177,332,3,331
250,100,4,99
80,432,2,431
259,322,4,321
24,181,5,180
58,196,5,195
71,679,2,678
86,384,4,383
289,143,5,142
41,423,5,422
291,515,4,514
114,20,3,19
19,288,1,287
200,219,4,218
12,526,3,525
245,919,4,918
137,26,5,25
166,232,1,231
59,427,5,426
56,304,5,303
222,274,4,273
188,512,4,511
242,15,3,14
91,1049,1,1048
245,416,3,415
193,165,4,164
240,690,2,689
177,248,4,247
253,1444,3,1443
292,5,3,4
126,229,5,228
224,237,5,236
298,229,3,228
224,480,5,479
275,54,3,53
290,144,5,143
221,366,4,365
266,518,5,517
41,403,3,402
10,111,4,110
94,625,4,624
7,338,4,337
161,25,4,24
86,1016,4,1015
278,154,5,153
144,275,2,274
118,1153,5,1152
61,498,4,497
61,382,3,381
27,209,4,208
134,23,4,22
31,294,3,293
89,382,5,381
285,208,4,207
292,685,3,684
215,144,4,143
165,328,5,327
249,496,4,495
270,132,5,131
159,174,5,173
264,118,4,117
197,498,3,497
41,96,5,95
167,151,5,150
109,307,4,306
57,144,4,143
89,648,4,647
270,346,4,345
61,21,3,20
278,832,3,831
236,514,4,513
93,789,4,788
127,485,3,484
297,317,4,316
43,195,5,194
263,200,5,199
193,385,2,384
71,195,5,194
221,750,5,749
249,264,3,263
40,265,3,264
223,245,3,244
81,135,3,134
261,1147,4,1146
292,471,3,470
215,658,3,657
249,140,3,139
58,23,5,22
285,379,5,378
243,815,4,814
6,479,4,478
173,368,1,367
86,274,4,273
193,1211,2,1210
81,1134,2,1133
12,836,2,835
12,272,4,271
243,756,2,755
304,427,5,426
94,787,2,786
42,14,2,13
298,955,4,954
56,419,3,418
83,405,3,404
268,504,4,503
298,111,3,110
193,466,4,465
159,135,4,134
98,268,3,267
9,486,4,485
258,117,4,116
84,427,3,426
302,919,4,918
212,273,5,272
120,514,3,513
89,98,5,97
48,559,2,558
41,794,3,793
154,323,2,322
67,117,4,116
171,177,4,176
18,4,4,3
267,231,4,230
4,2,3,1
304,117,2,116
43,294,4,293
42,137,4,136
278,1336,1,1335
79,466,5,465
253,164,4,163
297,281,3,280
278,1240,1,1239
65,298,4,297
17,443,3,442
267,1035,2,1034
98,79,4,78
12,98,4,97
25,258,3,257
6,455,4,454
221,755,4,754
199,673,5,672
118,328,4,327
212,172,5,171
275,322,3,321
93,1217,3,1216
129,379,4,378
37,328,4,327
159,719,3,718
292,1267,3,1266
25,930,2,929
129,216,4,215
91,1079,3,1078
255,452,4,451
0,61,4,60
71,48,4,47
55,755,3,754
12,360,4,359
14,405,2,404
91,77,3,76
206,476,2,475
291,174,5,173
231,483,5,482
250,748,2,747
223,26,3,25
180,220,4,219
258,255,4,254
304,471,4,470
51,280,3,279
160,202,5,201
147,408,5,407
124,235,2,234
96,228,5,227
57,1098,4,1097
82,234,4,233
89,347,4,346
271,178,5,177
193,181,3,180
124,478,4,477
109,688,1,687
298,14,4,13
150,10,5,9
268,127,4,126
5,14,5,13
53,106,3,105
302,69,5,68
15,944,1,943
300,790,4,789
275,1091,3,1090
304,214,2,213
193,1028,2,1027
90,323,2,322
86,554,4,553
293,109,4,108
285,171,4,170
199,318,5,317
228,328,1,327
177,568,4,567
302,842,2,841
61,65,4,64
206,591,3,590
91,172,4,171
300,401,4,400
35,339,5,338
69,746,3,745
62,242,3,241
27,201,3,200
278,68,4,67
249,7,4,6
13,98,3,97
298,1018,3,1017
193,54,3,53
302,815,3,814
118,237,5,236
294,218,5,217
267,930,2,929
267,2,2,1
